evidence_id,path,purpose,command,timestamp_utc,source_revision,sha256,reproducible,independently_verifiable,status
EVID-SRC-002,source-inventory.json + source-inventory.csv,"FINAL per-file SHA-256 inventory of the repository tree (175 files / 3,194,670 bytes / 85,152 lines)",python3 find+hashlib scanner (regenerated post-all-edits),2026-09-18T16:46:32Z,51726e7ef038d40ddc17c08d6d43112c321470be7ae4fcc915baa2d6f6bb1630 (175-file final hardening tree; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),2c9b0d030280cfb035cc3fe777d995acc59f254abcecc98d10c73718aac31a6f,yes,yes - rerun scanner; tree_sha256 anchors,PASS
EVID-TOOL-002,(environment),"Toolchain: rustc/cargo 1.98.1, agave/solana-cli 2.1.21 (tarball sha 5da3359e...), platform-tools v1.43, cargo-audit 0.22.2, cargo-deny 0.18.9, PostgreSQL 17.11, Redis 8.0.2",rustc --version; cargo --version; solana --version; cargo audit --version; cargo deny --version; service versions in logs,2026-09-18T16:00:00Z,51726e7ef038d40ddc17c08d6d43112c321470be7ae4fcc915baa2d6f6bb1630 (175-file final hardening tree; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),n/a,n/a,yes - version commands,PASS
EVID-BUILD-001,cargo-metadata.json,"cargo metadata --locked resolves (app workspace, 706 packages)",cargo metadata --locked --format-version 1,2026-09-18T14:38:04Z,51726e7ef038d40ddc17c08d6d43112c321470be7ae4fcc915baa2d6f6bb1630 (175-file final hardening tree; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),6c8b81cdb51b3d317273cc6dc49d25f0100630314beb70d35fccf3d34a2bfb95,yes,yes,PASS
EVID-BUILD-002,phase2-check.log,cargo check --workspace --all-targets exit 0,cargo check --workspace --all-targets,2026-09-18T14:52:30Z,51726e7ef038d40ddc17c08d6d43112c321470be7ae4fcc915baa2d6f6bb1630 (175-file final hardening tree; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),efbf5de364ec86882a953708a039f5c90dbc0d29c48f21782781c750862067e1,yes,yes - rerun,PASS
EVID-BUILD-003,phase2-fmt.log,cargo fmt --all --check clean,cargo fmt --all --check,2026-09-18T14:52:30Z,51726e7ef038d40ddc17c08d6d43112c321470be7ae4fcc915baa2d6f6bb1630 (175-file final hardening tree; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),3c0ce9816089e497551df8bcb2e637640263be5e71aec7c184cbc84e582611d6,yes,yes,PASS
EVID-TEST-001,phase2-test-workspace.log,"537/537 workspace tests, live PG 17.11 + Redis 8.0.2, gated suites EXECUTED",POSTGRES_URL=... REDIS_URL=... cargo test --workspace -- --test-threads=1,2026-09-18T15:41:05Z,51726e7ef038d40ddc17c08d6d43112c321470be7ae4fcc915baa2d6f6bb1630 (175-file final hardening tree; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),9fcb604bc791141ad1838b20b32c4a9a87298cd721cd63e98bc8de26f1bc99ef,yes,yes - rerun with services,PASS
EVID-TEST-002,phase2-test-workspace-allfeat.log,537/537 with --all-features (no feature-gated delta),cargo test --workspace --all-features -- --test-threads=1,2026-09-18T15:41:30Z,51726e7ef038d40ddc17c08d6d43112c321470be7ae4fcc915baa2d6f6bb1630 (175-file final hardening tree; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),8942836c46d002c6ed93c02a2a41cfa5578b6789ff5e6481fa8ab007fea7a1b9,yes,yes,PASS
EVID-TEST-003,phase2-staking-clippy.log,staking program: clippy -D warnings clean + host tests 71/71 (audit-pass source; re-run 71/71 on FINAL source in EVID-GATE-001),cargo clippy --all-targets -- -D warnings; cargo test (in programs/staking-suite),2026-09-18T15:43:02Z,51726e7ef038d40ddc17c08d6d43112c321470be7ae4fcc915baa2d6f6bb1630 (175-file final hardening tree; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),0cb578a90357976134675c9f63dccd57e4dd796a5217bd4214e7eea990b401ea,yes,yes,PASS
EVID-SBF-001,staking_suite.so.first,"cargo build-sbf artifact: 187,504 B, sha256 57a890fae273f2c569fc814c43f0645311b6983dd30782126a9844ee193b5564 (supersedes freeze-era 9e113678...)","cargo build-sbf (agave 2.1.21, platform-tools v1.43)",2026-09-18T15:58:51Z,51726e7ef038d40ddc17c08d6d43112c321470be7ae4fcc915baa2d6f6bb1630 (175-file final hardening tree; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),57a890fae273f2c569fc814c43f0645311b6983dd30782126a9844ee193b5564,yes (byte-identical rebuild proven),yes - rebuild + sha256sum,PASS
EVID-SBF-002,phase3-sbf-rebuild.log,Determinism (incremental): touch src/lib.rs + fresh platform-tools rebuild => byte-identical hash. NOTE: this persisted log is TRUNCATED at the platform-tools download stage (the final hash-comparison lines were only in the non-persisted live process monitor). The result was superseded and re-proven by EVID-SBF-003 (full cold rebuild with complete log).,touch src/lib.rs && cargo build-sbf && sha256sum target/deploy/staking_suite.so,2026-09-18T16:03:13Z,51726e7ef038d40ddc17c08d6d43112c321470be7ae4fcc915baa2d6f6bb1630 (175-file final hardening tree; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),fcbec59de6589bc931e57c8846044fc739e4b2a215373da3bc19bb60b1059d6f,yes,yes,PASS (superseded by EVID-SBF-003; kept as honest history)
EVID-E2E-001,phase5-full-batch.log,"validator e2e 3/3 PASSED, 160.72 s: governance; funded stake->reward->claim->unstake; max-supply cap + metadata vs REAL mpl-token-metadata (mainnet-beta clone)",STAKING_E2E=1 cargo test --test validator_e2e -- --test-threads=1,2026-09-18T15:39:48Z,51726e7ef038d40ddc17c08d6d43112c321470be7ae4fcc915baa2d6f6bb1630 (175-file final hardening tree; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),358c4eacad5c6acd864f6a19c5286fa0c35d938f193cf2bb239eac81130caa24,yes,yes - needs solana-test-validator + internet,PASS
EVID-E2E-002,phase5-capmeta-fix.log,"Defect fixes proven by execution: D1 discriminant 19->33 (CreateMetadataAccountV3), D2 --clone -> --clone-upgradeable-program",same e2e command (fix iterations),2026-09-18T15:21:51Z,51726e7ef038d40ddc17c08d6d43112c321470be7ae4fcc915baa2d6f6bb1630 (175-file final hardening tree; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),27700fd07b7986620d6b05797b8d116025372c96242f6ba688878e7da4e23a92,yes,yes,PASS
EVID-DB-001,backup-2026-09-18T15:44:22Z.dump + phase8-3-dump.sha256,"pg_dump -Fc of populated app DB (24 tables / 68 rows / 11 migrations); dump sha256 5989ecf1...; contains test-seeded data from a throwaway local database only (no keys, no production data)",pg_dump -Fc (full procedure in phase8-main.log),2026-09-18T15:45:51Z,51726e7ef038d40ddc17c08d6d43112c321470be7ae4fcc915baa2d6f6bb1630 (175-file final hardening tree; no .git — freeze 0e139c3 / release 9c677cd documented in AUDIT.md),5989ecf1ff2b2a8bd693fbb0aa8a16d2ece708a6ebdb354aecf5492ee93fec3c,yes,yes - pg_restore + psql comparisons,PASS
